System ID,Climate,STCs,CER Size,Description,Fuel,Energisation,Function,a,b,c,d,,Notes
SOF-1-00,1,#N/A,#N/A,Solid fuel,Solid,Any,Main,0,-0.72615,1427.23,4743,,Equivalent to original curve
SOF-2-00,2,#N/A,#N/A,Solid fuel,Solid,Any,Main,0,-0.54175,1423.292,4885,,Equivalent to original curve
SOF-3-00,3,#N/A,#N/A,Solid fuel,Solid,Any,Main,0,-0.27092,1415.114,5152,,Equivalent to original curve
SOF-4-00,4,#N/A,#N/A,Solid fuel,Solid,Any,Main,0,0.161378,1404.513,5464,,Equivalent to original curve
ESS-1-00,1,#N/A,#N/A,Electric storage small,Electricity,Continuous,Main,0,0,1020.408,1524.119,,
ESS-2-00,2,#N/A,#N/A,Electric storage small,Electricity,Continuous,Main,0,0,1020.408,1583.626,,
ESS-3-00,3,#N/A,#N/A,Electric storage small,Electricity,Continuous,Main,0,0,1020.408,1681.753,,
ESS-4-00,4,#N/A,#N/A,Electric storage small,Electricity,Continuous,Main,0,0,1020.408,1799.074,,
ESL-1-00,1,#N/A,#N/A,Electric storage large,Electricity,Controlled,Main,0,0,963.8672,2525.968,,
ESL-2-00,2,#N/A,#N/A,Electric storage large,Electricity,Controlled,Main,0,0,961.3917,2624.592,,
ESL-3-00,3,#N/A,#N/A,Electric storage large,Electricity,Controlled,Main,0,0,958.0354,2787.221,,
ESL-4-00,4,#N/A,#N/A,Electric storage large,Electricity,Controlled,Main,0,0,953.8245,2981.66,,
EIN-1-00,1,#N/A,#N/A,Electric instantaneous,Electricity,Continuous,Main,0.130838,-5.18353,1195.708,0,,Instant same parameters across climates
EIN-2-00,2,#N/A,#N/A,Electric instantaneous,Electricity,Continuous,Main,0.130838,-5.18353,1195.708,0,,
EIN-3-00,3,#N/A,#N/A,Electric instantaneous,Electricity,Continuous,Main,0.130838,-5.18353,1195.708,0,,
EIN-4-00,4,#N/A,#N/A,Electric instantaneous,Electricity,Continuous,Main,0.130838,-5.18353,1195.708,0,,
GST-1-40,1,#N/A,#N/A,Gas storage 4.0 star,Gas,Continuous,Main,0,0,1215.27,5856.144,,No change
GST-2-40,2,#N/A,#N/A,Gas storage 4.0 star,Gas,Continuous,Main,0,0,1214.224,6084.792,,No change
GST-3-40,3,#N/A,#N/A,Gas storage 4.0 star,Gas,Continuous,Main,0,0,1212.806,6461.826,,No change
GST-4-40,4,#N/A,#N/A,Gas storage 4.0 star,Gas,Continuous,Main,0,0,1211.027,6912.608,,No change
GST-1-45,1,#N/A,#N/A,Gas storage 4.5 star,Gas,Continuous,Main,0,0,1186.804,5263.561,,Updated 31 Oct 2021
GST-2-45,2,#N/A,#N/A,Gas storage 4.5 star,Gas,Continuous,Main,0,0,1185.888,5469.072,,Updated 31 Oct 2021
GST-3-45,3,#N/A,#N/A,Gas storage 4.5 star,Gas,Continuous,Main,0,0,1184.645,5807.953,,Updated 31 Oct 2021
GST-4-45,4,#N/A,#N/A,Gas storage 4.5 star,Gas,Continuous,Main,0,0,1183.087,6213.119,,Updated 31 Oct 2021
GST-1-50,1,#N/A,#N/A,Gas storage 5.0 star,Gas,Continuous,Main,0,0,1147.046,4810.404,,No change
GST-2-50,2,#N/A,#N/A,Gas storage 5.0 star,Gas,Continuous,Main,0,0,1146.238,4998.222,,No change
GST-3-50,3,#N/A,#N/A,Gas storage 5.0 star,Gas,Continuous,Main,0,0,1145.142,5307.929,,No change
GST-4-50,4,#N/A,#N/A,Gas storage 5.0 star,Gas,Continuous,Main,0,0,1143.768,5678.214,,No change
GIN-1-40,1,#N/A,#N/A,Gas instantaneous 4.0 star,Gas,Continuous,Main,0.43193,-17.1122,1800.229,0,,Instant same parameters across climates
GIN-2-40,2,#N/A,#N/A,Gas instantaneous 4.0 star,Gas,Continuous,Main,0.43193,-17.1122,1800.229,0,,
GIN-3-40,3,#N/A,#N/A,Gas instantaneous 4.0 star,Gas,Continuous,Main,0.43193,-17.1122,1800.229,0,,
GIN-4-40,4,#N/A,#N/A,Gas instantaneous 4.0 star,Gas,Continuous,Main,0.43193,-17.1122,1800.229,0,,
GIN-1-45,1,#N/A,#N/A,Gas instantaneous 4.5 star,Gas,Continuous,Main,0.379575,-15.038,1708.632,0,,
GIN-2-45,2,#N/A,#N/A,Gas instantaneous 4.5 star,Gas,Continuous,Main,0.379575,-15.038,1708.632,0,,
GIN-3-45,3,#N/A,#N/A,Gas instantaneous 4.5 star,Gas,Continuous,Main,0.379575,-15.038,1708.632,0,,
GIN-4-45,4,#N/A,#N/A,Gas instantaneous 4.5 star,Gas,Continuous,Main,0.379575,-15.038,1708.632,0,,
GIN-1-50,1,#N/A,#N/A,Gas instantaneous 5.0 star,Gas,Continuous,Main,0.333764,-13.2231,1621.169,0,,
GIN-2-50,2,#N/A,#N/A,Gas instantaneous 5.0 star,Gas,Continuous,Main,0.333764,-13.2231,1621.169,0,,
GIN-3-50,3,#N/A,#N/A,Gas instantaneous 5.0 star,Gas,Continuous,Main,0.333764,-13.2231,1621.169,0,,
GIN-4-50,4,#N/A,#N/A,Gas instantaneous 5.0 star,Gas,Continuous,Main,0.333764,-13.2231,1621.169,0,,
GIN-1-55,1,#N/A,#N/A,Gas instantaneous 5.5 star,Gas,Continuous,Main,0.281409,-11.1489,1530.145,0,,
GIN-2-55,2,#N/A,#N/A,Gas instantaneous 5.5 star,Gas,Continuous,Main,0.281409,-11.1489,1530.145,0,,
GIN-3-55,3,#N/A,#N/A,Gas instantaneous 5.5 star,Gas,Continuous,Main,0.281409,-11.1489,1530.145,0,,
GIN-4-55,4,#N/A,#N/A,Gas instantaneous 5.5 star,Gas,Continuous,Main,0.281409,-11.1489,1530.145,0,,
GIN-1-60,1,#N/A,#N/A,Gas instantaneous 6.0 star,Gas,Continuous,Main,0.209421,-8.29683,1432.319,0,,
GIN-2-60,2,#N/A,#N/A,Gas instantaneous 6.0 star,Gas,Continuous,Main,0.209421,-8.29683,1432.319,0,,
GIN-3-60,3,#N/A,#N/A,Gas instantaneous 6.0 star,Gas,Continuous,Main,0.209421,-8.29683,1432.319,0,,
GIN-4-60,4,#N/A,#N/A,Gas instantaneous 6.0 star,Gas,Continuous,Main,0.209421,-8.29683,1432.319,0,,
GIN-1-65,1,#N/A,#N/A,Gas instantaneous 6.5 star,Gas,Continuous,Main,0.235598,-9.33394,1368.679,0,,
GIN-2-65,2,#N/A,#N/A,Gas instantaneous 6.5 star,Gas,Continuous,Main,0.235598,-9.33394,1368.679,0,,
GIN-3-65,3,#N/A,#N/A,Gas instantaneous 6.5 star,Gas,Continuous,Main,0.235598,-9.33394,1368.679,0,,
GIN-4-65,4,#N/A,#N/A,Gas instantaneous 6.5 star,Gas,Continuous,Main,0.235598,-9.33394,1368.679,0,,
GIN-1-70,1,#N/A,#N/A,Gas instantaneous 7.0 star,Gas,Continuous,Main,0.242143,-9.59322,1297.781,0,,
GIN-2-70,2,#N/A,#N/A,Gas instantaneous 7.0 star,Gas,Continuous,Main,0.242143,-9.59322,1297.781,0,,
GIN-3-70,3,#N/A,#N/A,Gas instantaneous 7.0 star,Gas,Continuous,Main,0.242143,-9.59322,1297.781,0,,
GIN-4-70,4,#N/A,#N/A,Gas instantaneous 7.0 star,Gas,Continuous,Main,0.242143,-9.59322,1297.781,0,,
GIN-1-99,1,#N/A,#N/A,Gas instantaneous ALL,Electricity,Continuous,Auxiliary,0.000856,-0.0339,4.686018,100.9152,,Elec for gas same in all climates and stars
GIN-2-99,2,#N/A,#N/A,Gas instantaneous ALL,Electricity,Continuous,Auxiliary,0.000856,-0.0339,4.686018,100.9152,,Elec for gas same in all climates and stars
GIN-3-99,3,#N/A,#N/A,Gas instantaneous ALL,Electricity,Continuous,Auxiliary,0.000856,-0.0339,4.686018,100.9152,,Elec for gas same in all climates and stars
GIN-4-99,4,#N/A,#N/A,Gas instantaneous ALL,Electricity,Continuous,Auxiliary,0.000856,-0.0339,4.686018,100.9152,,Elec for gas same in all climates and stars
STE-1-12,1,12,Small,Solar-electric,Electricity,Any,Main,-2.30066,83.03858,33.56288,609.56,,
STE-1-13,1,13,Small,Solar-electric,Electricity,Any,Main,-2.25265,83.11951,-10.9864,485.4525,,
STE-1-14,1,14,Small,Solar-electric,Electricity,Any,Main,-2.1433,82.4108,-81.1466,524.0959,,
STE-1-15,1,15,Small,Solar-electric,Electricity,Any,Main,-2.03396,81.70208,-151.307,562.7393,,
STE-1-16,1,16,Small,Solar-electric,Electricity,Any,Main,-1.92461,80.99337,-221.467,601.3827,,
STE-1-17,1,17,Small,Solar-electric,Electricity,Any,Main,-1.64842,74.98008,-261.701,611.4312,,
STE-1-18,1,18,Small,Solar-electric,Electricity,Any,Main,-0.98294,56.58946,-232.109,554.7586,,
STE-1-19,1,19,Small,Solar-electric,Electricity,Any,Main,-0.20697,31.1329,-140.31,399.7752,,
STE-1-20,1,20,Small,Solar-electric,Electricity,Any,Main,0.11001,1.552352,19.0158,47.70643,,
STE-1-21,1,21,Medium,Solar-electric,Electricity,Any,Main,-1.06598,62.32547,-62.447,561.3133,,
STE-1-22,1,22,Medium,Solar-electric,Electricity,Any,Main,-1.03301,62.28397,-103.491,570.6061,,
STE-1-23,1,23,Medium,Solar-electric,Electricity,Any,Main,-1.00005,62.24246,-144.535,579.8989,,
STE-1-24,1,24,Medium,Solar-electric,Electricity,Any,Main,-0.96709,62.20096,-185.579,589.1917,,
STE-1-25,1,25,Medium,Solar-electric,Electricity,Any,Main,-0.83764,58.75632,-200.327,578.6838,,
STE-1-26,1,26,Medium,Solar-electric,Electricity,Any,Main,-0.61172,51.90854,-188.779,548.3753,,
STE-1-27,1,27,Medium,Solar-electric,Electricity,Any,Main,-0.3858,45.06076,-177.23,518.0668,,
STE-1-28,1,28,Large,Solar-electric,Electricity,Any,Main,0.448955,19.10699,99.03849,28.58955,,
STE-1-29,1,29,Large,Solar-electric,Electricity,Any,Main,0.516878,17.01246,89.09802,40.5195,,
STE-1-30,1,30,Large,Solar-electric,Electricity,Any,Main,0.5848,14.91793,79.15754,52.44944,,
STE-1-31,1,31,Large,Solar-electric,Electricity,Any,Main,0.652723,12.82341,69.21707,64.37939,,
STE-1-32,1,32,Large,Solar-electric,Electricity,Any,Main,0.720645,10.72888,59.27659,76.30934,,
STE-1-33,1,33,Large,Solar-electric,Electricity,Any,Main,0.787099,8.566705,50.81965,86.12824,,
STE-1-34,1,34,Large,Solar-electric,Electricity,Any,Main,0.840333,5.795667,55.71449,76.94772,,
STE-1-35,1,35,Large,Solar-electric,Electricity,Any,Main,0.893567,3.02463,60.60932,67.7672,,
STE-1-36,1,36,Large,Solar-electric,Electricity,Any,Main,0.946802,0.253593,65.50416,58.58669,,
STE-1-37,1,37,Large,Solar-electric,Electricity,Any,Main,0.996477,-2.54946,71.82846,46.27163,,
STE-1-38,1,38,Large,Solar-electric,Electricity,Any,Main,1.031918,-5.48055,83.87058,21.41842,,
STE-1-39,1,39,Large,Solar-electric,Electricity,Any,Main,1.06736,-8.41165,95.91271,-3.43479,,
STE-1-40,1,40,Large,Solar-electric,Electricity,Any,Main,1.058981,-10.3863,103.7919,-21.1084,,
STE-1-41,1,41,Large,Solar-electric,Electricity,Any,Main,1.031822,-11.951,109.887,-35.705,,
STE-1-42,1,42,Large,Solar-electric,Electricity,Any,Main,0.95478,-12.6307,113.6694,-54.769,,
STE-1-43,1,43,Large,Solar-electric,Electricity,Any,Main,0.80967,-11.7351,106.8772,-57.0934,,
STE-1-44,1,44,Large,Solar-electric,Electricity,Any,Main,0.569538,-8.50683,84.50907,-38.7977,,
STE-1-45,1,45,Large,Solar-electric,Electricity,Any,Main,0.301397,-4.15191,52.68738,-10.1156,,
STE-2-12,2,12,Small,Solar-electric,Electricity,Any,Main,-2.27515,96.0848,-161.381,1290.059,,
STE-2-13,2,13,Small,Solar-electric,Electricity,Any,Main,-2.2501,96.84788,-222.74,1253.303,,
STE-2-14,2,14,Small,Solar-electric,Electricity,Any,Main,-2.22506,97.61096,-284.099,1216.548,,
STE-2-15,2,15,Small,Solar-electric,Electricity,Any,Main,-2.20002,98.37403,-345.458,1179.792,,
STE-2-16,2,16,Small,Solar-electric,Electricity,Any,Main,-1.94899,91.56507,-380.43,1170.324,,
STE-2-17,2,17,Small,Solar-electric,Electricity,Any,Main,-1.64147,82.86311,-408.806,1167.679,,
STE-2-18,2,18,Small,Solar-electric,Electricity,Any,Main,-1.29109,72.18634,-418.799,1127.157,,
STE-2-19,2,19,Small,Solar-electric,Electricity,Any,Main,-0.555,43.73638,-263.342,745.7564,,
STE-2-20,2,20,Small,Solar-electric,Electricity,Any,Main,0.236292,1.115733,11.17285,143.8386,,
STE-2-21,2,21,Medium,Solar-electric,Electricity,Any,Main,-2.09863,102.0643,-446.045,1670.726,,
STE-2-22,2,22,Medium,Solar-electric,Electricity,Any,Main,-2.06404,101.6233,-476.61,1598.7,,
STE-2-23,2,23,Medium,Solar-electric,Electricity,Any,Main,-1.93338,97.59179,-482.742,1551.377,,
STE-2-24,2,24,Medium,Solar-electric,Electricity,Any,Main,-1.77871,92.66263,-482.765,1510.229,,
STE-2-25,2,25,Medium,Solar-electric,Electricity,Any,Main,-1.62404,87.73346,-482.788,1469.08,,
STE-2-26,2,26,Medium,Solar-electric,Electricity,Any,Main,-1.46937,82.80429,-482.811,1427.932,,
STE-2-27,2,27,Medium,Solar-electric,Electricity,Any,Main,-1.3147,77.87513,-482.834,1386.784,,
STE-2-28,2,28,Large,Solar-electric,Electricity,Any,Main,0.221797,26.48151,22.96278,455.6858,,
STE-2-29,2,29,Large,Solar-electric,Electricity,Any,Main,0.248215,25.6484,3.838764,462.6733,,
STE-2-30,2,30,Large,Solar-electric,Electricity,Any,Main,0.274632,24.81529,-15.2852,469.6608,,
STE-2-31,2,31,Large,Solar-electric,Electricity,Any,Main,0.30105,23.98218,-34.4093,476.6483,,
STE-2-32,2,32,Large,Solar-electric,Electricity,Any,Main,0.327467,23.14907,-53.5333,483.6358,,
STE-2-33,2,33,Large,Solar-electric,Electricity,Any,Main,0.376839,20.90969,-54.7706,459.1436,,
STE-2-34,2,34,Large,Solar-electric,Electricity,Any,Main,0.449166,17.26402,-38.1211,403.1716,,
STE-2-35,2,35,Large,Solar-electric,Electricity,Any,Main,0.521493,13.61835,-21.4717,347.1997,,
STE-2-36,2,36,Large,Solar-electric,Electricity,Any,Main,0.59382,9.972687,-4.82222,291.2277,,
STE-2-37,2,37,Large,Solar-electric,Electricity,Any,Main,0.666147,6.327022,11.82722,235.2557,,
STE-2-38,2,38,Large,Solar-electric,Electricity,Any,Main,0.711125,3.402227,22.4529,196.3088,,
STE-2-39,2,39,Large,Solar-electric,Electricity,Any,Main,0.692288,2.159467,19.02311,197.087,,
STE-2-40,2,40,Large,Solar-electric,Electricity,Any,Main,0.673451,0.916706,15.59333,197.8652,,
STE-2-41,2,41,Large,Solar-electric,Electricity,Any,Main,0.673913,-1.13344,21.13915,183.3136,,
STE-2-42,2,42,Large,Solar-electric,Electricity,Any,Main,0.693672,-3.99097,35.66058,153.4323,,
STE-2-43,2,43,Large,Solar-electric,Electricity,Any,Main,0.714097,-7.45047,62.08912,89.15036,,
STE-2-44,2,44,Large,Solar-electric,Electricity,Any,Main,0.70534,-11.1039,97.46176,-6.95007,,
STE-2-45,2,45,Large,Solar-electric,Electricity,Any,Main,0.526895,-10.1168,98.18441,-42.6623,,
STE-3-15,3,15,Small,Solar-electric,Electricity,Any,Main,-0.32469,28.8115,257.2512,373.6616,,
STE-3-16,3,16,Small,Solar-electric,Electricity,Any,Main,-0.3384,30.34192,198.4136,372.7606,,
STE-3-17,3,17,Small,Solar-electric,Electricity,Any,Main,-0.33114,30.99594,145.8646,360.1895,,
STE-3-18,3,18,Small,Solar-electric,Electricity,Any,Main,-0.24003,28.14433,118.4696,300.9382,,
STE-3-19,3,19,Small,Solar-electric,Electricity,Any,Main,-0.14891,25.29271,91.07463,241.6869,,
STE-3-20,3,20,Small,Solar-electric,Electricity,Any,Main,-0.07704,22.26917,68.22225,203.4773,,
STE-3-21,3,21,Small,Solar-electric,Electricity,Any,Main,-0.00957,19.16904,41.32676,179.7079,,
STE-3-22,3,22,Small,Solar-electric,Electricity,Any,Main,0.04234,16.12333,12.23586,180.2728,,
STE-3-23,3,23,Small,Solar-electric,Electricity,Any,Main,0.080275,13.04206,-17.0136,209.6441,,
STE-3-24,3,24,Small,Solar-electric,Electricity,Any,Main,0.265658,0.245965,37.36317,45.09779,,
STE-3-25,3,25,Medium,Solar-electric,Electricity,Any,Main,-0.37938,31.87688,115.5276,407.0767,,
STE-3-26,3,26,Medium,Solar-electric,Electricity,Any,Main,-0.32912,30.31357,101.7449,372.2813,,
STE-3-27,3,27,Medium,Solar-electric,Electricity,Any,Main,-0.27887,28.75026,87.96217,337.4859,,
STE-3-28,3,28,Medium,Solar-electric,Electricity,Any,Main,-0.22861,27.18695,74.17947,302.6905,,
STE-3-29,3,29,Medium,Solar-electric,Electricity,Any,Main,-0.18332,25.43078,61.77099,275.3484,,
STE-3-30,3,30,Medium,Solar-electric,Electricity,Any,Main,-0.13928,23.6264,49.70607,249.8696,,
STE-3-31,3,31,Medium,Solar-electric,Electricity,Any,Main,-0.09752,21.8694,37.339,227.9479,,
STE-3-32,3,32,Medium,Solar-electric,Electricity,Any,Main,-0.06482,20.30198,23.76338,220.2549,,
STE-3-33,3,33,Medium,Solar-electric,Electricity,Any,Main,-0.03425,18.73841,10.42493,214.9393,,
STE-3-34,3,34,Medium,Solar-electric,Electricity,Any,Main,-0.00863,17.18384,-2.3601,215.1712,,
STE-3-35,3,35,Large,Solar-electric,Electricity,Any,Main,-0.11913,21.38587,72.79583,185.4216,,
STE-3-36,3,36,Large,Solar-electric,Electricity,Any,Main,-0.0943,20.41085,63.82276,173.227,,
STE-3-37,3,37,Large,Solar-electric,Electricity,Any,Main,-0.07568,19.5675,54.15694,170.8314,,
STE-3-38,3,38,Large,Solar-electric,Electricity,Any,Main,-0.05775,18.73877,44.41415,169.5246,,
STE-3-39,3,39,Large,Solar-electric,Electricity,Any,Main,-0.03981,17.91004,34.67135,168.2177,,
STE-3-40,3,40,Large,Solar-electric,Electricity,Any,Main,-0.02521,17.08779,25.38866,170.7533,,
STE-3-41,3,41,Large,Solar-electric,Electricity,Any,Main,-0.01144,16.26717,16.221,174.2494,,
STE-3-42,3,42,Large,Solar-electric,Electricity,Any,Main,-0.00522,15.68764,5.523045,183.5055,,
STE-3-43,3,43,Large,Solar-electric,Electricity,Any,Main,-0.00656,15.34921,-6.70519,198.5214,,
STE-3-44,3,44,Large,Solar-electric,Electricity,Any,Main,0.009764,14.3709,-13.6452,205.7806,,
STE-3-45,3,45,Large,Solar-electric,Electricity,Any,Main,0.037588,12.94908,-16.7759,207.377,,
STE-4-17,4,17,Small,Solar-electric,Electricity,Any,Main,-0.13731,20.08463,238.2189,664.9692,,
STE-4-18,4,18,Small,Solar-electric,Electricity,Any,Main,-0.11723,18.97097,210.0392,608.2988,,
STE-4-19,4,19,Small,Solar-electric,Electricity,Any,Main,-0.09731,17.75321,183.5524,545.0694,,
STE-4-20,4,20,Small,Solar-electric,Electricity,Any,Main,-0.07977,16.5508,159.467,469.4848,,
STE-4-21,4,21,Small,Solar-electric,Electricity,Any,Main,-0.073,15.79145,128.4473,417.1732,,
STE-4-22,4,22,Small,Solar-electric,Electricity,Any,Main,-0.0571,14.66911,98.66823,370.354,,
STE-4-23,4,23,Small,Solar-electric,Electricity,Any,Main,-0.02821,12.85307,77.3614,289.6894,,
STE-4-24,4,24,Small,Solar-electric,Electricity,Any,Main,-0.02689,12.19881,43.25572,276.8921,,
STE-4-25,4,25,Small,Solar-electric,Electricity,Any,Main,a,b,c,d,,Not covered by industry tables
STE-4-26,4,26,Small,Solar-electric,Electricity,Any,Main,a,b,c,d,,Not covered by industry tables
STE-4-27,4,27,Medium,Solar-electric,Electricity,Any,Main,-0.04028,15.10954,249.5076,510.2918,,
STE-4-28,4,28,Medium,Solar-electric,Electricity,Any,Main,-0.03277,14.59287,231.0886,477.5969,,
STE-4-29,4,29,Medium,Solar-electric,Electricity,Any,Main,-0.02523,14.04885,212.9602,443.218,,
STE-4-30,4,30,Medium,Solar-electric,Electricity,Any,Main,-0.01944,13.53833,196.7251,400.9741,,
STE-4-31,4,31,Medium,Solar-electric,Electricity,Any,Main,-0.01741,13.1808,177.7708,366.0485,,
STE-4-32,4,32,Medium,Solar-electric,Electricity,Any,Main,-0.01816,12.95171,156.0304,343.5914,,
STE-4-33,4,33,Medium,Solar-electric,Electricity,Any,Main,-0.0128,12.49374,137.8175,320.6567,,
STE-4-34,4,34,Medium,Solar-electric,Electricity,Any,Main,-0.01143,12.20522,116.6755,307.4195,,
STE-4-35,4,35,Medium,Solar-electric,Electricity,Any,Main,0.009395,11.01676,107.4668,248.661,,
STE-4-36,4,36,Medium,Solar-electric,Electricity,Any,Main,0.001658,10.95101,85.866,235.7741,,
STE-4-37,4,37,Medium,Solar-electric,Electricity,Any,Main,0.003881,10.5461,63.39686,232.0488,,
STE-4-38,4,38,Large,Solar-electric,Electricity,Any,Main,-0.1313,16.31283,138.6852,409.7989,,
STE-4-39,4,39,Large,Solar-electric,Electricity,Any,Main,-0.1257,15.98608,128.1268,394.8471,,
STE-4-40,4,40,Large,Solar-electric,Electricity,Any,Main,-0.11934,15.63717,118.9264,380.9111,,
STE-4-41,4,41,Large,Solar-electric,Electricity,Any,Main,-0.11188,15.23264,108.3179,363.5334,,
STE-4-42,4,42,Large,Solar-electric,Electricity,Any,Main,-0.10808,14.98422,95.29685,356.2913,,
STE-4-43,4,43,Large,Solar-electric,Electricity,Any,Main,-0.09255,14.19714,89.00761,320.1808,,
STE-4-44,4,44,Large,Solar-electric,Electricity,Any,Main,-0.07492,13.3039,83.66043,283.8512,,
STE-4-45,4,45,Large,Solar-electric,Electricity,Any,Main,-0.08239,13.40351,68.9721,278.8225,,
STG-1-9,1,9,Small,Solar-gas,Gas+Elec,Continuous,Main+Sec,-4.1268,132.145,99.10718,1112.035,,
STG-1-10,1,10,Small,Solar-gas,Gas+Elec,Continuous,Main+Sec,-3.97908,130.6938,20.87734,1116.964,,
STG-1-11,1,11,Small,Solar-gas,Gas+Elec,Continuous,Main+Sec,-3.83137,129.2425,-57.3525,1121.892,,
STG-1-12,1,12,Small,Solar-gas,Gas+Elec,Continuous,Main+Sec,-3.60344,125.4764,-131.498,1165.809,,
STG-1-13,1,13,Small,Solar-gas,Gas+Elec,Continuous,Main+Sec,-3.35545,121.1315,-204.621,1219.474,,
STG-1-14,1,14,Small,Solar-gas,Gas+Elec,Continuous,Main+Sec,-3.10747,116.7867,-277.745,1273.138,,
STG-1-15,1,15,Small,Solar-gas,Gas+Elec,Continuous,Main+Sec,-2.67668,106.4508,-314.429,1279.029,,
STG-1-16,1,16,Small,Solar-gas,Gas+Elec,Continuous,Main+Sec,-1.9717,87.12836,-296.452,1213.259,,
STG-1-17,1,17,Small,Solar-gas,Gas+Elec,Continuous,Main+Sec,-1.20235,63.67425,-243.011,1088.213,,
STG-1-18,1,18,Medium,Solar-gas,Gas+Elec,Continuous,Main+Sec,-1.57748,88.33343,-50.3897,1234.767,,
STG-1-19,1,19,Medium,Solar-gas,Gas+Elec,Continuous,Main+Sec,-1.49678,86.55528,-91.1418,1245.804,,
STG-1-20,1,20,Medium,Solar-gas,Gas+Elec,Continuous,Main+Sec,-1.41608,84.77713,-131.894,1256.841,,
STG-1-21,1,21,Medium,Solar-gas,Gas+Elec,Continuous,Main+Sec,-1.33538,82.99899,-172.646,1267.877,,
STG-1-22,1,22,Medium,Solar-gas,Gas+Elec,Continuous,Main+Sec,-1.25468,81.22084,-213.398,1278.914,,
STG-1-23,1,23,Medium,Solar-gas,Gas+Elec,Continuous,Main+Sec,-1.0486,74.7886,-215.735,1247.281,,
STG-1-24,1,24,Medium,Solar-gas,Gas+Elec,Continuous,Main+Sec,-0.81117,67.19283,-208.468,1204.981,,
STG-1-25,1,25,Large,Solar-gas,Gas+Elec,Continuous,Main+Sec,1.307303,4.682713,339.1673,273.9715,,
