Hour,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,0.008079,0.008695,0.008194,0.008427,0.008427,0.008844,0.008762,0.008598,0.008523,0.008246,0.008393,0.008159
2,0.007225,0.00767,0.007225,0.00741,0.007359,0.007688,0.007584,0.007494,0.007503,0.00727,0.007363,0.007225
3,0.007051,0.007479,0.007051,0.007223,0.007164,0.007455,0.007351,0.007276,0.0073,0.007089,0.007184,0.007051
4,0.006924,0.007338,0.006924,0.007084,0.007014,0.007269,0.007164,0.007104,0.007146,0.006954,0.007053,0.006924
5,0.006988,0.007408,0.006988,0.007153,0.007089,0.007362,0.007257,0.00719,0.007223,0.007021,0.007119,0.006988
6,0.007161,0.007721,0.00738,0.00754,0.007547,0.008021,0.008008,0.007659,0.007731,0.007396,0.007468,0.007282
7,0.008589,0.009541,0.009191,0.009452,0.009571,0.010424,0.010452,0.009792,0.009851,0.009265,0.009361,0.008961
8,0.010679,0.012247,0.011902,0.012285,0.012588,0.013939,0.014119,0.012886,0.012984,0.012069,0.012196,0.011468
9,0.010038,0.011358,0.010956,0.011298,0.011517,0.012537,0.012639,0.01176,0.011761,0.011077,0.011252,0.010637
10,0.009879,0.011165,0.010774,0.011107,0.011319,0.012336,0.012435,0.011562,0.011572,0.010889,0.011052,0.010459
11,0.009679,0.010906,0.010523,0.01084,0.011031,0.012037,0.012125,0.011269,0.011307,0.010625,0.010769,0.010218
12,0.009716,0.01095,0.010576,0.010902,0.011078,0.012149,0.012192,0.011348,0.011407,0.010674,0.010809,0.010256
13,0.00954,0.010736,0.010379,0.010686,0.010851,0.011915,0.011955,0.011114,0.011185,0.010453,0.010581,0.010057
14,0.009602,0.010819,0.010463,0.010771,0.010942,0.012004,0.01205,0.0112,0.011261,0.010532,0.01067,0.010132
15,0.009594,0.010815,0.010465,0.010766,0.010943,0.011992,0.012054,0.01119,0.011237,0.010519,0.010668,0.010128
16,0.009679,0.01092,0.010566,0.010876,0.011055,0.012125,0.012177,0.011313,0.011357,0.010626,0.010777,0.010224
17,0.01263,0.014734,0.01443,0.014924,0.015282,0.017207,0.017277,0.01574,0.015885,0.014551,0.01476,0.013743
18,0.015888,0.018611,0.01809,0.018891,0.01927,0.021813,0.021552,0.020093,0.020165,0.018392,0.018715,0.017299
19,0.016307,0.019018,0.0184,0.019241,0.019604,0.022116,0.021802,0.020468,0.020473,0.018729,0.019076,0.017661
20,0.014182,0.016353,0.015765,0.016373,0.016689,0.018472,0.018404,0.017226,0.017149,0.015935,0.016277,0.015198
21,0.013109,0.015037,0.014479,0.014962,0.015258,0.016644,0.016706,0.015603,0.015483,0.014555,0.014918,0.013983
22,0.011677,0.013241,0.012716,0.013109,0.013339,0.01448,0.01456,0.013614,0.013531,0.01277,0.013052,0.012333
23,0.009923,0.011017,0.010494,0.010799,0.010936,0.011684,0.01173,0.01114,0.011022,0.010535,0.01076,0.010288
24,0.009133,0.010065,0.009583,0.009862,0.009979,0.010667,0.010694,0.010189,0.010081,0.009634,0.009812,0.00942