Nominal hour number,Clock Hour beginning,Clock Hour  ending,Time of Hot Water use by hour (share),Daytime energisation by hour (share),Overnight energisation by hour (share),Energisation dependent on hot water load storage systems,Share auxiliary electricity energy for solar thermal gas systems
1,0:00,1:00,0,0,0.25,Component A,0.01
2,1:00,2:00,0,0,0.25,Component A,0.01
3,2:00,3:00,0,0,0.25,Component A,0.01
4,3:00,4:00,0,0,0.25,Component A,0.01
5,4:00,5:00,0,0,0,Component A,0.01
6,5:00,6:00,0,0,0,Component A,0.01
7,6:00,7:00,0,0,0,Component A,0.01
8,7:00,8:00,0.15,0,0,Component D,0.02
9,8:00,9:00,0.15,0.125,0,Component D,0.02
10,9:00,10:00,0,0.125,0,Component A,0.05
11,10:00,11:00,0,0.125,0,Component A,0.08
12,11:00,12:00,0.1,0.125,0,Component B,0.12
13,12:00,13:00,0,0.125,0,Component A,0.15
14,13:00,14:00,0.1,0.125,0,Component B,0.16
15,14:00,15:00,0,0.125,0,Component A,0.12
16,15:00,16:00,0.125,0.125,0,Component C,0.09
17,16:00,17:00,0.125,0,0,Component C,0.05
18,17:00,18:00,0.125,0,0,Component C,0.02
19,18:00,19:00,0.125,0,0,Component C,0.02
20,19:00,20:00,0,0,0,Component A,0.01
21,20:00,21:00,0,0,0,Component A,0.01
22,21:00,22:00,0,0,0,Component A,0.01
23,22:00,23:00,0,0,0,Component A,0.01
24,23:00,24:00:00,0,0,0,Component A,0.01